allele number population locus proportion
278 0 6 F19 0.000000000
306 0 6 F19 0.000000000
229 0 6 F19 0.052083333
195 11 6 F19 0.010416667
197 7 6 F19 0.000000000
205 4 6 F19 0.000000000
314 2 6 F19 0.000000000
320 0 6 F19 0.000000000
201 8 6 F19 0.010416667
211 8 6 F19 0.020833333
318 0 6 F19 0.000000000
191 5 6 F19 0.062500000
193 15 6 F19 0.010416667
186 0 6 F19 0.000000000
223 0 6 F19 0.010416667
209 7 6 F19 0.000000000
199 3 6 F19 0.000000000
241 0 6 F19 0.010416667
308 0 6 F19 0.000000000
340 0 6 F19 0.000000000
254 0 6 F19 0.010416667
235 0 6 F19 0.000000000
237 0 6 F19 0.000000000
262 0 6 F19 0.000000000
258 0 6 F19 0.000000000
245 0 6 F19 0.000000000
233 0 6 F19 0.041666667
282 0 6 F19 0.000000000
231 0 6 F19 0.000000000
274 0 6 F19 0.000000000
239 0 6 F19 0.000000000
250 0 6 F19 0.010416667
217 1 8 F19 0.093333333
272 0 8 F19 0.006666667
189 9 8 F19 0.253333333
298 0 8 F19 0.013333333
213 57 8 F19 0.340000000
219 2 8 F19 0.006666667
215 13 8 F19 0.073333333
304 0 8 F19 0.026666667
227 0 8 F19 0.006666667
290 0 8 F19 0.013333333
207 0 8 F19 0.020000000
203 0 8 F19 0.006666667
221 0 8 F19 0.033333333
225 4 8 F19 0.013333333
184 0 8 F19 0.006666667
302 0 8 F19 0.013333333
294 1 8 F19 0.006666667
278 0 8 F19 0.006666667
306 0 8 F19 0.006666667
229 0 8 F19 0.006666667
195 1 8 F19 0.026666667
197 0 8 F19 0.013333333
205 4 8 F19 0.006666667
314 1 8 F19 0.000000000
320 0 8 F19 0.000000000
201 0 8 F19 0.000000000
211 1 8 F19 0.000000000
318 0 8 F19 0.000000000
191 2 8 F19 0.000000000
193 0 8 F19 0.000000000
186 0 8 F19 0.000000000
223 1 8 F19 0.000000000
209 0 8 F19 0.000000000
199 0 8 F19 0.000000000
241 1 8 F19 0.000000000
308 1 8 F19 0.000000000
340 1 8 F19 0.000000000
254 0 8 F19 0.000000000
235 0 8 F19 0.000000000
237 0 8 F19 0.000000000
262 0 8 F19 0.000000000
258 0 8 F19 0.000000000
245 0 8 F19 0.000000000
233 0 8 F19 0.000000000
282 0 8 F19 0.000000000
231 0 8 F19 0.000000000
274 0 8 F19 0.000000000
239 0 8 F19 0.000000000
250 0 8 F19 0.000000000
217 2 10 F19 0.013333333
272 0 10 F19 0.000000000
189 6 10 F19 0.006666667
298 0 10 F19 0.000000000
213 17 10 F19 0.033333333
219 0 10 F19 0.013333333
215 15 10 F19 0.000000000
304 0 10 F19 0.000000000
227 0 10 F19 0.000000000
290 0 10 F19 0.000000000
207 0 10 F19 0.046666667
203 0 10 F19 0.073333333
221 0 10 F19 0.006666667
225 0 10 F19 0.000000000
184 0 10 F19 0.000000000
302 0 10 F19 0.000000000
294 0 10 F19 0.000000000
278 0 10 F19 0.000000000
306 0 10 F19 0.000000000
229 0 10 F19 0.000000000
195 0 10 F19 0.213333333
197 0 10 F19 0.080000000
205 0 10 F19 0.033333333
314 0 10 F19 0.013333333
320 0 10 F19 0.013333333
201 1 10 F19 0.100000000
211 1 10 F19 0.026666667
318 0 10 F19 0.020000000
191 0 10 F19 0.113333333
193 0 10 F19 0.080000000
186 0 10 F19 0.046666667
223 0 10 F19 0.013333333
209 1 10 F19 0.020000000
199 0 10 F19 0.033333333
241 0 10 F19 0.000000000
308 0 10 F19 0.000000000
340 0 10 F19 0.000000000
254 2 10 F19 0.000000000
235 1 10 F19 0.000000000
237 2 10 F19 0.000000000
262 0 10 F19 0.000000000
258 0 10 F19 0.000000000
245 0 10 F19 0.000000000
233 0 10 F19 0.000000000
282 0 10 F19 0.000000000
231 0 10 F19 0.000000000
274 0 10 F19 0.000000000
239 0 10 F19 0.000000000
250 0 10 F19 0.000000000
217 4 12 F19 0.010416667
272 0 12 F19 0.000000000
189 0 12 F19 0.020833333
298 0 12 F19 0.000000000
213 5 12 F19 0.041666667
219 8 12 F19 0.031250000
215 17 12 F19 0.031250000
304 0 12 F19 0.000000000
227 3 12 F19 0.000000000
290 0 12 F19 0.000000000
207 1 12 F19 0.020833333
203 1 12 F19 0.104166667
221 3 12 F19 0.000000000
225 4 12 F19 0.000000000
184 0 12 F19 0.010416667
302 0 12 F19 0.000000000
294 0 12 F19 0.000000000
278 0 12 F19 0.000000000
306 0 12 F19 0.000000000
229 2 12 F19 0.000000000
195 1 12 F19 0.114583333
197 0 12 F19 0.072916667
205 2 12 F19 0.041666667
314 0 12 F19 0.020833333
320 0 12 F19 0.000000000
201 1 12 F19 0.083333333
211 2 12 F19 0.083333333
318 0 12 F19 0.000000000
191 10 12 F19 0.052083333
193 0 12 F19 0.156250000
186 0 12 F19 0.000000000
223 5 12 F19 0.000000000
209 1 12 F19 0.072916667
199 2 12 F19 0.031250000
241 5 12 F19 0.000000000
308 0 12 F19 0.000000000
340 0 12 F19 0.000000000
254 1 12 F19 0.000000000
235 1 12 F19 0.000000000
237 2 12 F19 0.000000000
262 1 12 F19 0.000000000
258 1 12 F19 0.000000000
245 1 12 F19 0.000000000
233 3 12 F19 0.000000000
282 1 12 F19 0.000000000
231 5 12 F19 0.000000000
274 1 12 F19 0.000000000
239 4 12 F19 0.000000000
250 2 12 F19 0.000000000
217 10 14 F19 0.010000000
272 0 14 F19 0.000000000
189 0 14 F19 0.090000000
298 0 14 F19 0.000000000
213 7 14 F19 0.570000000
219 13 14 F19 0.020000000
215 14 14 F19 0.130000000
304 0 14 F19 0.000000000
227 7 14 F19 0.000000000
290 0 14 F19 0.000000000
207 3 14 F19 0.000000000
203 0 14 F19 0.000000000
221 9 14 F19 0.000000000
225 9 14 F19 0.040000000
184 0 14 F19 0.000000000
302 0 14 F19 0.000000000
294 0 14 F19 0.010000000
278 0 14 F19 0.000000000
306 0 14 F19 0.000000000
229 5 14 F19 0.000000000
195 1 14 F19 0.010000000
197 0 14 F19 0.000000000
205 0 14 F19 0.040000000
314 0 14 F19 0.010000000
320 0 14 F19 0.000000000
201 1 14 F19 0.000000000
211 2 14 F19 0.010000000
318 0 14 F19 0.000000000
191 6 14 F19 0.020000000
193 1 14 F19 0.000000000
186 0 14 F19 0.000000000
223 1 14 F19 0.010000000
209 0 14 F19 0.000000000
199 0 14 F19 0.000000000
241 1 14 F19 0.010000000
308 0 14 F19 0.010000000
340 0 14 F19 0.010000000
254 1 14 F19 0.000000000
235 0 14 F19 0.000000000
237 0 14 F19 0.000000000
262 0 14 F19 0.000000000
258 0 14 F19 0.000000000
245 0 14 F19 0.000000000
233 4 14 F19 0.000000000
282 0 14 F19 0.000000000
231 0 14 F19 0.000000000
274 0 14 F19 0.000000000
239 0 14 F19 0.000000000
250 1 14 F19 0.000000000
204 105 2 F21 0.291666667
206 36 2 F21 0.020833333
202 7 2 F21 0.062500000
200 1 2 F21 0.000000000
208 1 2 F21 0.062500000
210 0 2 F21 0.000000000
194 0 2 F21 0.000000000
212 0 2 F21 0.000000000
196 0 2 F21 0.562500000
204 114 4 F21 0.920000000
206 12 4 F21 0.020000000
202 8 4 F21 0.040000000
200 0 4 F21 0.010000000
208 15 4 F21 0.000000000
210 1 4 F21 0.000000000
194 0 4 F21 0.000000000
212 0 4 F21 0.000000000
196 0 4 F21 0.010000000
204 48 6 F21 0.968750000
206 17 6 F21 0.010416667
202 14 6 F21 0.010416667
200 0 6 F21 0.000000000
208 13 6 F21 0.010416667
210 1 6 F21 0.000000000
194 2 6 F21 0.000000000
212 1 6 F21 0.000000000
196 0 6 F21 0.000000000
204 92 8 F21 0.700000000
206 2 8 F21 0.240000000
202 1 8 F21 0.046666667
200 0 8 F21 0.006666667
208 4 8 F21 0.006666667
210 0 8 F21 0.000000000
194 0 8 F21 0.000000000
212 0 8 F21 0.000000000
196 1 8 F21 0.000000000
204 14 10 F21 0.760000000
206 1 10 F21 0.080000000
202 3 10 F21 0.053333333
200 0 10 F21 0.000000000
208 3 10 F21 0.100000000
210 0 10 F21 0.006666667
194 0 10 F21 0.000000000
212 0 10 F21 0.000000000
196 27 10 F21 0.000000000
204 92 12 F21 0.500000000
206 2 12 F21 0.177083333
202 4 12 F21 0.145833333
200 1 12 F21 0.000000000
208 0 12 F21 0.135416667
210 0 12 F21 0.010416667
194 0 12 F21 0.020833333
212 0 12 F21 0.010416667
196 1 12 F21 0.000000000
204 93 14 F21 0.920000000
206 1 14 F21 0.020000000
202 1 14 F21 0.010000000
200 0 14 F21 0.000000000
208 1 14 F21 0.040000000
210 0 14 F21 0.000000000
194 0 14 F21 0.000000000
212 0 14 F21 0.000000000
196 0 14 F21 0.010000000
178 124 2 F22 0.291666667
180 26 2 F22 0.708333333
182 0 2 F22 0.000000000
178 128 4 F22 0.620000000
180 22 4 F22 0.380000000
182 0 4 F22 0.000000000
178 87 6 F22 0.666666667
180 8 6 F22 0.333333333
182 1 6 F22 0.000000000
178 26 8 F22 0.826666667
180 73 8 F22 0.173333333
182 1 8 F22 0.000000000
178 14 10 F22 0.853333333
180 34 10 F22 0.146666667
182 0 10 F22 0.000000000
178 62 12 F22 0.906250000
180 38 12 F22 0.083333333
182 0 12 F22 0.010416667
178 64 14 F22 0.260000000
180 32 14 F22 0.730000000
182 0 14 F22 0.010000000
200 25 2 F34 0.062500000
204 21 2 F34 0.604166667
198 68 2 F34 0.062500000
202 33 2 F34 0.250000000
196 3 2 F34 0.000000000
206 0 2 F34 0.000000000
194 0 2 F34 0.020833333
208 0 2 F34 0.000000000
200 38 4 F34 0.150000000
204 16 4 F34 0.050000000
198 4 4 F34 0.020000000
202 76 4 F34 0.750000000
196 12 4 F34 0.020000000
206 2 4 F34 0.010000000
194 2 4 F34 0.000000000
208 0 4 F34 0.000000000
200 39 6 F34 0.166666667
204 4 6 F34 0.062500000
198 5 6 F34 0.031250000
202 42 6 F34 0.729166667
196 3 6 F34 0.000000000
206 1 6 F34 0.000000000
194 1 6 F34 0.010416667
208 1 6 F34 0.000000000
200 22 8 F34 0.166666667
204 4 8 F34 0.140000000
198 13 8 F34 0.453333333
202 58 8 F34 0.220000000
196 2 8 F34 0.020000000
206 1 8 F34 0.000000000
194 0 8 F34 0.000000000
208 0 8 F34 0.000000000
200 3 10 F34 0.253333333
204 29 10 F34 0.106666667
198 3 10 F34 0.026666667
202 12 10 F34 0.506666667
196 0 10 F34 0.080000000
206 0 10 F34 0.013333333
194 1 10 F34 0.013333333
208 0 10 F34 0.000000000
200 15 12 F34 0.406250000
204 5 12 F34 0.041666667
198 2 12 F34 0.052083333
202 75 12 F34 0.437500000
196 2 12 F34 0.031250000
206 1 12 F34 0.010416667
194 0 12 F34 0.010416667
208 0 12 F34 0.010416667
200 16 14 F34 0.220000000
204 6 14 F34 0.040000000
198 3 14 F34 0.130000000
202 70 14 F34 0.580000000
196 0 14 F34 0.020000000
206 0 14 F34 0.010000000
194 1 14 F34 0.000000000
208 0 14 F34 0.000000000
198 110 2 F4 0.625000000
200 6 2 F4 0.020833333
218 2 2 F4 0.062500000
220 2 2 F4 0.000000000
194 1 2 F4 0.020833333
202 12 2 F4 0.020833333
190 2 2 F4 0.000000000
182 3 2 F4 0.041666667
196 2 2 F4 0.062500000
222 3 2 F4 0.020833333
178 2 2 F4 0.020833333
206 1 2 F4 0.000000000
186 2 2 F4 0.020833333
180 1 2 F4 0.041666667
192 1 2 F4 0.000000000
184 0 2 F4 0.020833333
238 0 2 F4 0.000000000
214 0 2 F4 0.000000000
204 0 2 F4 0.000000000
212 0 2 F4 0.000000000
216 0 2 F4 0.000000000
226 0 2 F4 0.000000000
228 0 2 F4 0.000000000
224 0 2 F4 0.000000000
240 0 2 F4 0.000000000
210 0 2 F4 0.000000000
230 0 2 F4 0.000000000
188 0 2 F4 0.020833333
234 0 2 F4 0.000000000
198 12 4 F4 0.030000000
200 7 4 F4 0.000000000
218 1 4 F4 0.010000000
220 3 4 F4 0.000000000
194 15 4 F4 0.000000000
202 4 4 F4 0.000000000
190 11 4 F4 0.010000000
182 2 4 F4 0.330000000
196 7 4 F4 0.000000000
222 4 4 F4 0.000000000
178 1 4 F4 0.000000000
206 1 4 F4 0.020000000
186 22 4 F4 0.500000000
180 7 4 F4 0.080000000
192 15 4 F4 0.000000000
184 12 4 F4 0.000000000
238 1 4 F4 0.000000000
214 5 4 F4 0.000000000
204 1 4 F4 0.000000000
212 1 4 F4 0.000000000
216 5 4 F4 0.000000000
226 1 4 F4 0.000000000
228 1 4 F4 0.000000000
224 4 4 F4 0.000000000
240 1 4 F4 0.000000000
210 1 4 F4 0.010000000
230 2 4 F4 0.000000000
188 1 4 F4 0.010000000
234 2 4 F4 0.000000000
198 6 6 F4 0.020833333
200 10 6 F4 0.000000000
218 0 6 F4 0.010416667
220 1 6 F4 0.000000000
194 7 6 F4 0.010416667
202 2 6 F4 0.000000000
190 4 6 F4 0.000000000
182 3 6 F4 0.250000000
196 4 6 F4 0.000000000
222 0 6 F4 0.010416667
178 3 6 F4 0.000000000
206 3 6 F4 0.000000000
186 13 6 F4 0.593750000
180 5 6 F4 0.093750000
192 10 6 F4 0.000000000
184 9 6 F4 0.010416667
238 0 6 F4 0.000000000
214 1 6 F4 0.000000000
204 0 6 F4 0.000000000
212 3 6 F4 0.000000000
216 0 6 F4 0.000000000
226 0 6 F4 0.000000000
228 0 6 F4 0.000000000
224 0 6 F4 0.000000000
240 0 6 F4 0.000000000
210 1 6 F4 0.000000000
230 0 6 F4 0.000000000
188 11 6 F4 0.000000000
234 0 6 F4 0.000000000
198 11 8 F4 0.733333333
200 2 8 F4 0.040000000
218 62 8 F4 0.013333333
220 1 8 F4 0.013333333
194 0 8 F4 0.006666667
202 0 8 F4 0.080000000
190 1 8 F4 0.013333333
182 4 8 F4 0.020000000
196 0 8 F4 0.013333333
222 2 8 F4 0.020000000
178 0 8 F4 0.013333333
206 0 8 F4 0.006666667
186 7 8 F4 0.013333333
180 2 8 F4 0.006666667
192 1 8 F4 0.006666667
184 0 8 F4 0.000000000
238 0 8 F4 0.000000000
214 0 8 F4 0.000000000
204 0 8 F4 0.000000000
212 0 8 F4 0.000000000
216 1 8 F4 0.000000000
226 0 8 F4 0.000000000
228 0 8 F4 0.000000000
224 0 8 F4 0.000000000
240 2 8 F4 0.000000000
210 0 8 F4 0.000000000
230 0 8 F4 0.000000000
188 4 8 F4 0.000000000
234 0 8 F4 0.000000000
198 30 10 F4 0.080000000
200 1 10 F4 0.046666667
218 3 10 F4 0.006666667
220 0 10 F4 0.020000000
194 1 10 F4 0.100000000
202 1 10 F4 0.026666667
190 0 10 F4 0.073333333
182 2 10 F4 0.013333333
196 3 10 F4 0.046666667
222 1 10 F4 0.026666667
178 1 10 F4 0.006666667
206 0 10 F4 0.006666667
186 1 10 F4 0.146666667
180 2 10 F4 0.046666667
192 0 10 F4 0.100000000
184 1 10 F4 0.080000000
238 0 10 F4 0.006666667
214 0 10 F4 0.033333333
204 0 10 F4 0.006666667
212 0 10 F4 0.006666667
216 0 10 F4 0.033333333
226 0 10 F4 0.006666667
228 0 10 F4 0.006666667
224 0 10 F4 0.026666667
240 0 10 F4 0.006666667
210 0 10 F4 0.006666667
230 0 10 F4 0.013333333
188 1 10 F4 0.006666667
234 0 10 F4 0.013333333
198 3 12 F4 0.062500000
200 0 12 F4 0.104166667
218 1 12 F4 0.000000000
220 0 12 F4 0.010416667
194 0 12 F4 0.072916667
202 0 12 F4 0.020833333
190 1 12 F4 0.041666667
182 33 12 F4 0.031250000
196 0 12 F4 0.041666667
222 0 12 F4 0.000000000
178 0 12 F4 0.031250000
206 2 12 F4 0.031250000
186 50 12 F4 0.135416667
180 8 12 F4 0.052083333
192 0 12 F4 0.104166667
184 0 12 F4 0.093750000
238 0 12 F4 0.000000000
214 0 12 F4 0.010416667
204 0 12 F4 0.000000000
212 0 12 F4 0.031250000
216 0 12 F4 0.000000000
226 0 12 F4 0.000000000
228 0 12 F4 0.000000000
224 0 12 F4 0.000000000
240 0 12 F4 0.000000000
210 1 12 F4 0.010416667
230 0 12 F4 0.000000000
188 1 12 F4 0.114583333
234 0 12 F4 0.000000000
198 2 14 F4 0.110000000
200 0 14 F4 0.020000000
218 1 14 F4 0.620000000
220 0 14 F4 0.010000000
194 1 14 F4 0.000000000
202 0 14 F4 0.000000000
190 0 14 F4 0.010000000
182 24 14 F4 0.040000000
196 0 14 F4 0.000000000
222 1 14 F4 0.020000000
178 0 14 F4 0.000000000
206 0 14 F4 0.000000000
186 57 14 F4 0.070000000
180 9 14 F4 0.020000000
192 0 14 F4 0.010000000
184 1 14 F4 0.000000000
238 0 14 F4 0.000000000
214 0 14 F4 0.000000000
204 0 14 F4 0.000000000
212 0 14 F4 0.000000000
216 0 14 F4 0.010000000
226 0 14 F4 0.000000000
228 0 14 F4 0.000000000
224 0 14 F4 0.000000000
240 0 14 F4 0.020000000
210 0 14 F4 0.000000000
230 0 14 F4 0.000000000
188 0 14 F4 0.040000000
234 0 14 F4 0.000000000
203 72 2 F45 0.437500000
211 68 2 F45 0.416666667
205 8 2 F45 0.062500000
209 1 2 F45 0.000000000
207 1 2 F45 0.062500000
213 0 2 F45 0.020833333
201 0 2 F45 0.000000000
203 85 4 F45 0.130000000
211 21 4 F45 0.110000000
205 12 4 F45 0.640000000
209 14 4 F45 0.020000000
207 15 4 F45 0.020000000
213 3 4 F45 0.070000000
201 0 4 F45 0.010000000
203 58 6 F45 0.145833333
211 8 6 F45 0.125000000
205 1 6 F45 0.666666667
209 23 6 F45 0.000000000
207 6 6 F45 0.010416667
213 0 6 F45 0.052083333
201 0 6 F45 0.000000000
203 74 8 F45 0.480000000
211 11 8 F45 0.453333333
205 11 8 F45 0.053333333
209 3 8 F45 0.006666667
207 0 8 F45 0.006666667
213 1 8 F45 0.000000000
201 0 8 F45 0.000000000
203 21 10 F45 0.566666667
211 20 10 F45 0.140000000
205 3 10 F45 0.080000000
209 0 10 F45 0.093333333
207 3 10 F45 0.100000000
213 1 10 F45 0.020000000
201 0 10 F45 0.000000000
203 13 12 F45 0.604166667
211 11 12 F45 0.083333333
205 64 12 F45 0.010416667
209 2 12 F45 0.239583333
207 2 12 F45 0.062500000
213 7 12 F45 0.000000000
201 1 12 F45 0.000000000
203 14 14 F45 0.740000000
211 12 14 F45 0.110000000
205 64 14 F45 0.110000000
209 0 14 F45 0.030000000
207 1 14 F45 0.000000000
213 5 14 F45 0.010000000
201 0 14 F45 0.000000000
205 44 2 F47 0.062500000
215 68 2 F47 0.020833333
207 23 2 F47 0.291666667
203 13 2 F47 0.604166667
209 2 2 F47 0.000000000
211 0 2 F47 0.000000000
201 0 2 F47 0.020833333
219 0 2 F47 0.000000000
223 0 2 F47 0.000000000
224 0 2 F47 0.000000000
205 16 4 F47 0.000000000
215 2 4 F47 0.000000000
207 101 4 F47 0.950000000
203 10 4 F47 0.010000000
209 15 4 F47 0.010000000
211 3 4 F47 0.030000000
201 1 4 F47 0.000000000
219 2 4 F47 0.000000000
223 0 4 F47 0.000000000
224 0 4 F47 0.000000000
205 8 6 F47 0.000000000
215 1 6 F47 0.000000000
207 59 6 F47 0.500000000
203 4 6 F47 0.031250000
209 21 6 F47 0.000000000
211 0 6 F47 0.468750000
201 0 6 F47 0.000000000
219 1 6 F47 0.000000000
223 1 6 F47 0.000000000
224 1 6 F47 0.000000000
205 1 8 F47 0.293333333
215 3 8 F47 0.453333333
207 22 8 F47 0.153333333
203 68 8 F47 0.086666667
209 2 8 F47 0.013333333
211 2 8 F47 0.000000000
201 2 8 F47 0.000000000
219 0 8 F47 0.000000000
223 0 8 F47 0.000000000
224 0 8 F47 0.000000000
205 3 10 F47 0.106666667
215 1 10 F47 0.013333333
207 14 10 F47 0.673333333
203 29 10 F47 0.066666667
209 0 10 F47 0.100000000
211 0 10 F47 0.020000000
201 1 10 F47 0.006666667
219 0 10 F47 0.013333333
223 0 10 F47 0.000000000
224 0 10 F47 0.000000000
205 0 12 F47 0.083333333
215 0 12 F47 0.010416667
207 95 12 F47 0.614583333
203 1 12 F47 0.041666667
209 1 12 F47 0.218750000
211 3 12 F47 0.000000000
201 0 12 F47 0.000000000
219 0 12 F47 0.010416667
223 0 12 F47 0.010416667
224 0 12 F47 0.010416667
205 0 14 F47 0.010000000
215 0 14 F47 0.030000000
207 48 14 F47 0.220000000
203 3 14 F47 0.680000000
209 0 14 F47 0.020000000
211 45 14 F47 0.020000000
201 0 14 F47 0.020000000
219 0 14 F47 0.000000000
223 0 14 F47 0.000000000
224 0 14 F47 0.000000000
196 117 2 F49 0.250000000
192 31 2 F49 0.687500000
194 2 2 F49 0.020833333
202 0 2 F49 0.020833333
198 0 2 F49 0.020833333
196 125 4 F49 0.860000000
192 24 4 F49 0.140000000
194 0 4 F49 0.000000000
202 1 4 F49 0.000000000
198 0 4 F49 0.000000000
196 86 6 F49 0.895833333
192 10 6 F49 0.062500000
194 0 6 F49 0.000000000
202 0 6 F49 0.000000000
198 0 6 F49 0.041666667
196 20 8 F49 0.780000000
192 73 8 F49 0.206666667
194 4 8 F49 0.013333333
202 1 8 F49 0.000000000
198 2 8 F49 0.000000000
196 12 10 F49 0.833333333
192 33 10 F49 0.160000000
194 1 10 F49 0.000000000
202 1 10 F49 0.006666667
198 1 10 F49 0.000000000
196 86 12 F49 0.895833333
192 14 12 F49 0.104166667
194 0 12 F49 0.000000000
202 0 12 F49 0.000000000
198 0 12 F49 0.000000000
196 86 14 F49 0.200000000
192 6 14 F49 0.730000000
194 0 14 F49 0.040000000
202 0 14 F49 0.010000000
198 4 14 F49 0.020000000
162 5 2 F50 0.020833333
188 35 2 F50 0.020833333
197 56 2 F50 0.770833333
194 54 2 F50 0.145833333
185 0 2 F50 0.000000000
191 0 2 F50 0.000000000
165 0 2 F50 0.000000000
200 0 2 F50 0.041666667
182 0 2 F50 0.000000000
206 0 2 F50 0.000000000
162 34 4 F50 0.630000000
188 26 4 F50 0.020000000
197 21 4 F50 0.010000000
194 56 4 F50 0.340000000
185 4 4 F50 0.000000000
191 1 4 F50 0.000000000
165 1 4 F50 0.000000000
200 3 4 F50 0.000000000
182 4 4 F50 0.000000000
206 0 4 F50 0.000000000
162 32 6 F50 0.635416667
188 19 6 F50 0.000000000
197 18 6 F50 0.062500000
194 21 6 F50 0.302083333
185 5 6 F50 0.000000000
191 0 6 F50 0.000000000
165 0 6 F50 0.000000000
200 0 6 F50 0.000000000
182 0 6 F50 0.000000000
206 1 6 F50 0.000000000
162 5 8 F50 0.033333333
188 0 8 F50 0.233333333
197 50 8 F50 0.373333333
194 44 8 F50 0.360000000
185 1 8 F50 0.000000000
191 0 8 F50 0.000000000
165 0 8 F50 0.000000000
200 0 8 F50 0.000000000
182 0 8 F50 0.000000000
206 0 8 F50 0.000000000
162 1 10 F50 0.226666667
188 1 10 F50 0.173333333
197 37 10 F50 0.140000000
194 7 10 F50 0.373333333
185 0 10 F50 0.026666667
191 0 10 F50 0.006666667
165 0 10 F50 0.006666667
200 2 10 F50 0.020000000
182 0 10 F50 0.026666667
206 0 10 F50 0.000000000
162 63 12 F50 0.333333333
188 2 12 F50 0.197916667
197 1 12 F50 0.187500000
194 34 12 F50 0.218750000
185 0 12 F50 0.052083333
191 0 12 F50 0.000000000
165 0 12 F50 0.000000000
200 0 12 F50 0.000000000
182 0 12 F50 0.000000000
206 0 12 F50 0.010416667
162 61 14 F50 0.050000000
188 0 14 F50 0.000000000
197 6 14 F50 0.500000000
194 29 14 F50 0.440000000
185 0 14 F50 0.010000000
191 0 14 F50 0.000000000
165 0 14 F50 0.000000000
200 0 14 F50 0.000000000
182 0 14 F50 0.000000000
206 0 14 F50 0.000000000
195 53 2 F58 0.395833333
197 95 2 F58 0.083333333
199 2 2 F58 0.062500000
193 0 2 F58 0.020833333
203 0 2 F58 0.250000000
201 0 2 F58 0.187500000
195 79 4 F58 0.950000000
197 60 4 F58 0.040000000
199 6 4 F58 0.000000000
193 3 4 F58 0.010000000
203 1 4 F58 0.000000000
201 1 4 F58 0.000000000
195 42 6 F58 0.885416667
197 43 6 F58 0.062500000
199 9 6 F58 0.031250000
193 2 6 F58 0.000000000
203 0 6 F58 0.020833333
201 0 6 F58 0.000000000
195 91 8 F58 0.353333333
197 5 8 F58 0.633333333
199 2 8 F58 0.013333333
193 1 8 F58 0.000000000
203 1 8 F58 0.000000000
201 0 8 F58 0.000000000
195 19 10 F58 0.526666667
197 4 10 F58 0.400000000
199 3 10 F58 0.040000000
193 1 10 F58 0.020000000
203 12 10 F58 0.006666667
201 9 10 F58 0.006666667
195 95 12 F58 0.437500000
197 4 12 F58 0.447916667
199 0 12 F58 0.093750000
193 1 12 F58 0.020833333
203 0 12 F58 0.000000000
201 0 12 F58 0.000000000
195 85 14 F58 0.910000000
197 6 14 F58 0.050000000
199 3 14 F58 0.020000000
193 0 14 F58 0.010000000
203 2 14 F58 0.010000000
201 0 14 F58 0.000000000
202 90 2 F69 0.770833333
194 3 2 F69 0.020833333
190 10 2 F69 0.020833333
222 9 2 F69 0.000000000
218 3 2 F69 0.000000000
206 9 2 F69 0.145833333
210 3 2 F69 0.020833333
198 17 2 F69 0.000000000
214 5 2 F69 0.020833333
226 1 2 F69 0.000000000
230 0 2 F69 0.000000000
234 0 2 F69 0.000000000
202 47 4 F69 0.300000000
194 10 4 F69 0.020000000
190 8 4 F69 0.010000000
222 9 4 F69 0.010000000
218 9 4 F69 0.000000000
206 14 4 F69 0.450000000
210 16 4 F69 0.120000000
198 21 4 F69 0.080000000
214 12 4 F69 0.000000000
226 2 4 F69 0.000000000
230 2 4 F69 0.010000000
234 0 4 F69 0.000000000
202 14 6 F69 0.062500000
194 22 6 F69 0.010416667
190 0 6 F69 0.020833333
222 5 6 F69 0.000000000
218 7 6 F69 0.000000000
206 10 6 F69 0.593750000
210 14 6 F69 0.250000000
198 8 6 F69 0.010416667
214 7 6 F69 0.041666667
226 1 6 F69 0.000000000
230 2 6 F69 0.010416667
234 6 6 F69 0.000000000
202 72 8 F69 0.600000000
194 0 8 F69 0.020000000
190 0 8 F69 0.066666667
222 0 8 F69 0.060000000
218 0 8 F69 0.020000000
206 8 8 F69 0.060000000
210 1 8 F69 0.020000000
198 16 8 F69 0.113333333
214 2 8 F69 0.033333333
226 0 8 F69 0.006666667
230 1 8 F69 0.000000000
234 0 8 F69 0.000000000
202 37 10 F69 0.313333333
194 1 10 F69 0.066666667
190 1 10 F69 0.053333333
222 0 10 F69 0.060000000
218 0 10 F69 0.060000000
206 7 10 F69 0.093333333
210 1 10 F69 0.106666667
198 0 10 F69 0.140000000
214 1 10 F69 0.080000000
226 0 10 F69 0.013333333
230 0 10 F69 0.013333333
234 0 10 F69 0.000000000
202 30 12 F69 0.145833333
194 2 12 F69 0.229166667
190 1 12 F69 0.000000000
222 1 12 F69 0.052083333
218 0 12 F69 0.072916667
206 45 12 F69 0.104166667
210 12 12 F69 0.145833333
198 8 12 F69 0.083333333
214 0 12 F69 0.072916667
226 0 12 F69 0.010416667
230 1 12 F69 0.020833333
234 0 12 F69 0.062500000
202 6 14 F69 0.720000000
194 1 14 F69 0.000000000
190 2 14 F69 0.000000000
222 0 14 F69 0.000000000
218 0 14 F69 0.000000000
206 57 14 F69 0.080000000
210 24 14 F69 0.010000000
198 1 14 F69 0.160000000
214 4 14 F69 0.020000000
226 0 14 F69 0.000000000
230 1 14 F69 0.010000000
234 0 14 F69 0.000000000
196 41 2 F72 0.958333333
200 105 2 F72 0.041666667
204 3 2 F72 0.000000000
198 1 2 F72 0.000000000
194 0 2 F72 0.000000000
192 0 2 F72 0.000000000
196 96 4 F72 0.970000000
200 45 4 F72 0.030000000
204 0 4 F72 0.000000000
198 9 4 F72 0.000000000
194 0 4 F72 0.000000000
