locus Hs Hs.est Ht Ht.est
A198 0.541335218253968 0.547198054552747 0.71510924744898 0.715946795491663
B113 0.689854117063492 0.697325461291616 0.845337025226757 0.846404360116489
B128 0.657234126984127 0.664352186121139 0.815805548469388 0.81682241406039
D39 0.529569246031746 0.53530465302848 0.699311600056689 0.700130943913365
E6 0.755451736111111 0.763633523866827 0.831288881802721 0.832457708624966
F12 0.563264384920635 0.569364721219414 0.718429039115646 0.719300515729757
F19 0.837936111111111 0.847011231448054 0.919094125566893 0.920390571329313
F21 0.355129365079365 0.358975531488167 0.45850531462585 0.459054766969965
F22 0.348112251984127 0.351882420778179 0.467237152777778 0.467775748319785
F34 0.57199494047619 0.578189831528279 0.677057681405896 0.677942665841909
F4 0.670638343253968 0.677901574408343 0.868484119897959 0.869521724348584
F45 0.555276388888889 0.561290212595267 0.702265816326531 0.703124933998871
F47 0.48862876984127 0.493920778178901 0.695845946712018 0.696601947903108
F49 0.305205158730159 0.308510629763338 0.45680566893424 0.457277879081837
F50 0.588696279761905 0.595072051744886 0.732990617913832 0.733901442482829
F58 0.406119543650794 0.41051795026073 0.530124751984127 0.530753095785547
F69 0.63139623015873 0.638234456478139 0.756843452380952 0.757820341855153
F72 0.221414682539682 0.223812675491375 0.33260454223356 0.33294711265523
F9 0.659869940476191 0.667016546329724 0.839439441609977 0.840460385303339
L38 0.639159623015873 0.646081929402326 0.770267155612245 0.771256056524596
L58 0.844833333333333 0.853983152827918 0.922366744614513 0.923673861685168
L94 0.550737450396825 0.556702115924588 0.718834240362812 0.719686335438207
